Rs,u2,Tmax,Tmin,RH,pr,ETo
18.8,0.2,30.7,24.8,84.4,14.0,3.8
15.1,0.9,30.9,24.6,85.4,14.4,3.2
17.0,0.9,31.3,23.9,85.6,5.3,3.6
16.6,0.8,30.3,24.6,85.6,13.8,3.5
19.1,0.6,31.8,24.8,85.4,7.9,4.0
20.2,1.0,32.2,23.7,83.8,4.8,4.2
20.9,0.2,32.2,23.2,84.9,3.5,4.2
15.9,0.1,30.9,23.8,87.0,18.7,3.2
14.3,1.4,30.8,24.0,88.2,12.2,3.1
22.1,1.0,31.9,25.4,82.6,9.8,4.6
21.1,0.6,31.9,25.2,82.8,2.2,4.3
21.4,1.1,31.9,24.6,81.1,4.8,4.4
15.4,0.6,30.5,24.2,86.9,7.4,3.2
17.1,0.6,31.3,24.4,84.5,14.6,3.6
19.7,0.4,31.9,23.6,85.7,9.0,4.0
20.6,0.2,31.3,23.0,83.7,21.3,4.0
15.5,0.6,29.5,24.7,84.0,4.8,3.2
19.3,1.1,31.7,24.0,85.2,7.3,4.0
17.6,0.4,30.9,24.5,85.7,5.9,3.6
20.2,0.1,32.1,24.6,84.9,4.3,4.1
19.4,0.6,30.5,24.6,83.6,1.9,3.9
20.0,0.3,31.8,24.6,82.0,3.2,4.0
21.2,0.4,32.1,23.8,83.5,2.2,4.2
13.6,0.4,28.3,23.9,86.5,13.3,2.8
19.7,0.6,30.3,23.6,84.9,4.1,3.9
13.0,0.3,28.9,23.9,83.4,0.6,2.7
16.1,0.1,31.7,23.8,86.2,4.8,3.3
18.9,0.8,30.9,23.6,85.5,2.4,3.8
15.2,0.4,30.5,24.6,88.9,12.1,3.2
15.7,1.1,30.3,23.7,85.8,22.2,3.3
18.0,0.6,30.9,23.6,87.1,10.2,3.7
17.4,0.9,31.5,24.2,86.9,11.7,3.6
16.6,0.8,31.6,23.3,86.9,5.0,3.5
21.5,0.1,32.2,24.0,85.1,4.3,4.3
13.1,0.1,29.9,24.6,87.9,0.1,2.7
15.5,1.0,30.8,24.6,89.2,0.0,3.3
15.9,0.3,30.3,24.0,86.6,0.0,3.3
21.3,0.5,31.7,23.6,84.2,8.8,4.3
20.0,0.4,30.5,22.7,86.1,36.7,3.9
20.7,1.0,31.3,24.2,83.4,2.4,4.2
23.1,0.6,32.2,24.0,82.0,4.5,4.7
20.9,0.1,32.2,24.5,82.7,0.0,4.2
16.4,0.3,29.1,23.8,85.9,19.5,3.3
21.8,0.4,32.2,23.7,84.0,0.0,4.4
20.9,0.8,32.4,24.6,81.6,0.0,4.4
21.6,0.4,32.4,24.3,83.1,0.2,4.4
21.4,0.1,31.7,23.7,84.7,0.9,4.3
