iter	Passed	Remaining
544	11379	9500
545	11400	9479
546	11416	9454
547	11436	9432
548	11455	9410
549	11472	9386
550	11491	9364
551	11513	9344
552	11535	9324
553	11555	9303
554	11579	9284
555	11599	9262
556	11619	9241
557	11639	9219
558	11666	9203
559	11685	9181
560	11705	9159
561	11722	9136
562	11745	9116
563	11766	9096
564	11787	9074
565	11805	9052
566	11825	9030
567	11847	9010
568	11867	8989
569	11889	8969
570	11907	8946
571	11925	8923
572	11944	8901
573	11965	8880
574	11984	8858
575	12005	8837
576	12024	8815
577	12049	8797
578	12071	8777
579	12090	8755
580	12109	8732
581	12127	8710
582	12147	8688
583	12167	8666
584	12187	8645
585	12207	8624
586	12230	8605
587	12260	8590
588	12290	8575
589	12307	8552
590	12327	8531
591	12350	8511
592	12373	8492
593	12391	8469
594	12410	8447
595	12428	8424
596	12448	8403
597	12468	8382
598	12491	8362
599	12514	8342
600	12537	8323
601	12561	8304
602	12587	8287
603	12609	8267
604	12630	8246
605	12648	8223
606	12668	8202
607	12690	8181
608	12708	8159
609	12729	8138
610	12751	8118
611	12774	8098
612	12790	8075
613	12810	8053
614	12827	8030
615	12848	8009
616	12868	7988
617	12886	7965
618	12909	7945
619	12929	7924
620	12948	7902
621	12970	7882
622	12990	7860
623	13007	7837
624	13027	7816
625	13051	7797
626	13070	7775
627	13088	7753
628	13110	7732
629	13128	7710
630	13151	7690
631	13169	7668
632	13193	7649
633	13217	7630
634	13239	7610
635	13257	7587
636	13279	7567
637	13300	7546
638	13320	7525
639	13344	7506
640	13363	7484
641	13382	7462
642	13402	7441
643	13422	7419
644	13442	7398
645	13464	7378
646	13484	7356
647	13505	7336
648	13527	7316
649	13553	7298
650	13574	7277
651	13593	7255
652	13618	7236
653	13636	7214
654	13658	7194
655	13687	7177
656	13715	7160
657	13737	7140
658	13762	7121
659	13785	7101
660	13803	7079
661	13829	7061
662	13848	7039
663	13867	7017
664	13890	6997
665	13913	6977
666	13940	6959
667	13964	6940
668	13983	6918
669	14004	6897
670	14025	6877
671	14047	6856
672	14064	6833
673	14087	6814
674	14116	6796
675	14136	6775
676	14153	6752
677	14178	6733
678	14197	6711
679	14219	6691
680	14243	6672
681	14264	6651
682	14284	6629
683	14302	6607
684	14321	6585
685	14341	6564
686	14359	6542
687	14381	6521
688	14404	6501
689	14425	6480
690	14445	6459
691	14465	6438
692	14487	6418
693	14507	6396
694	14525	6374
695	14545	6353
696	14568	6333
697	14594	6314
698	14634	6301
699	14661	6283
700	14683	6263
701	14708	6243
702	14731	6223
703	14759	6205
704	14784	6186
705	14809	6167
706	14831	6146
707	14853	6125
708	14875	6105
709	14899	6085
710	14925	6066
711	14948	6046
712	14975	6028
713	15002	6009
714	15024	5988
715	15045	5967
716	15069	5947
717	15088	5926
718	15109	5905
719	15136	5886
720	15162	5867
721	15190	5848
722	15227	5834
723	15250	5813
724	15275	5794
725	15296	5773
726	15323	5754
727	15350	5735
728	15374	5715
729	15401	5696
730	15427	5677
731	15454	5658
732	15476	5637
733	15503	5618
734	15527	5598
735	15553	5578
736	15576	5558
737	15594	5536
738	15618	5516
739	15641	5495
740	15661	5474
741	15681	5452
742	15705	5432
743	15729	5412
744	15750	5391
745	15773	5370
746	15798	5350
747	15823	5330
748	15846	5310
749	15868	5289
750	15889	5268
751	15916	5249
752	15942	5229
753	15968	5209
754	15998	5191
755	16020	5170
756	16053	5153
757	16075	5132
758	16100	5112
759	16126	5092
760	16149	5071
761	16169	5050
762	16195	5030
763	16223	5011
764	16245	4990
765	16270	4970
766	16292	4949
767	16325	4931
768	16353	4912
769	16376	4891
770	16395	4869
771	16413	4847
772	16438	4827
773	16461	4806
774	16485	4786
775	16512	4766
776	16543	4747
777	16567	4727
778	16593	4707
779	16621	4688
780	16644	4667
781	16668	4646
782	16689	4625
783	16714	4604
784	16741	4585
785	16762	4563
786	16783	4542
787	16809	4522
788	16836	4502
789	16859	4481
790	16884	4461
791	16902	4438
792	16926	4418
793	16947	4396
794	16968	4375
795	16991	4354
796	17014	4333
797	17037	4312
798	17058	4291
799	17081	4270
800	17106	4249
801	17129	4228
802	17150	4207
803	17172	4186
804	17197	4165
805	17217	4144
806	17237	4122
807	17261	4101
808	17287	4081
809	17310	4060
810	17332	4039
811	17352	4017
812	17375	3996
813	17398	3975
814	17422	3954
815	17446	3934
816	17468	3912
817	17493	3892
818	17519	3871
819	17547	3851
820	17568	3830
821	17588	3808
822	17612	3787
823	17634	3766
824	17656	3745
825	17678	3724
826	17700	3702
827	17723	3681
828	17745	3660
829	17769	3639
830	17793	3618
831	17823	3598
832	17842	3577
833	17864	3555
834	17888	3534
835	17911	3513
836	17936	3493
837	17953	3470
838	17976	3449
839	18002	3429
840	18020	3407
841	18040	3385
842	18060	3363
843	18083	3342
844	18107	3321
845	18130	3300
846	18189	3285
847	18213	3264
848	18237	3243
849	18261	3222
850	18280	3200
851	18310	3180
852	18334	3159
853	18356	3138
854	18378	3116
855	18405	3096
856	18427	3074
857	18447	3053
858	18476	3032
859	18497	3011
860	18518	2989
861	18546	2969
862	18573	2948
863	18597	2927
864	18622	2906
865	18650	2885
866	18673	2864
867	18702	2844
868	18726	2822
869	18745	2801
870	18768	2779
871	18793	2758
872	18815	2737
873	18840	2716
874	18865	2695
875	18885	2673
876	18909	2652
877	18934	2630
878	18961	2610
879	18984	2588
880	19007	2567
881	19026	2545
882	19045	2523
883	19071	2502
884	19095	2481
885	19114	2459
886	19137	2438
887	19168	2417
888	19191	2396
889	19214	2374
890	19235	2353
891	19259	2331
892	19279	2310
893	19305	2288
894	19328	2267
895	19353	2246
896	19376	2224
897	19395	2203
898	19415	2181
899	19434	2159
900	19455	2137
901	19480	2116
902	19505	2095
903	19523	2073
904	19544	2051
905	19568	2030
906	19590	2008
907	19610	1986
908	19634	1965
909	19654	1943
910	19677	1922
911	19700	1900
912	19726	1879
913	19748	1858
914	19772	1836
915	19793	1815
916	19812	1793
917	19833	1771
918	19858	1750
919	19883	1728
920	19909	1707
921	19932	1686
922	19953	1664
923	19976	1643
924	19997	1621
925	20022	1600
926	20044	1578
927	20070	1557
928	20095	1535
929	20117	1514
930	20138	1492
931	20169	1471
932	20193	1450
933	20215	1428
934	20238	1406
935	20257	1385
936	20279	1363
937	20300	1341
938	20322	1320
939	20346	1298
940	20367	1277
941	20387	1255
942	20412	1233
943	20439	1212
944	20461	1190
945	20486	1169
946	20512	1148
947	20536	1126
948	20561	1104
949	20584	1083
950	20604	1061
951	20631	1040
952	20656	1018
953	20677	997
954	20699	975
955	20722	953
956	20746	932
957	20768	910
958	20794	889
959	20816	867
960	20840	845
961	20861	824
962	20882	802
963	20902	780
964	20924	758
965	20950	737
966	20974	715
967	21001	694
968	21024	672
969	21046	650
970	21070	629
971	21092	607
972	21117	586
973	21140	564
974	21163	542
975	21183	520
976	21199	499
977	21215	477
978	21230	455
979	21248	433
980	21264	411
981	21282	390
982	21297	368
983	21311	346
984	21327	324
985	21344	303
986	21357	281
987	21369	259
988	21384	237
989	21396	216
990	21410	194
991	21425	172
992	21440	151
993	21455	129
994	21470	107
995	21484	86
996	21501	64
997	21513	43
998	21526	21
999	21540	0
