Date,open,high,low,close,AVG
2016-06-17,1.4281,1.4386,1.422,1.4291,1.4294499999999999
2016-06-19,1.4455,1.4607,1.4449,1.4449,1.4490000000000003
2016-06-20,1.4579,1.4716,1.453,1.4579,1.4601
2016-06-21,1.4672,1.478,1.4615,1.467,1.468425
2016-06-22,1.4662,1.4842,1.464,1.4662,1.4701499999999998
2016-06-23,1.4784,1.5016,1.4318,1.4785,1.472575
2016-06-24,1.4554,1.4649,1.3228,1.4558,1.424725
2016-06-26,1.3418,1.3469,1.338,1.3417,1.3421
2016-06-27,1.3422,1.3473,1.3122,1.3439,1.3364
2016-06-28,1.3228,1.3417,1.3218,1.3224,1.327175
2016-06-29,1.3351,1.3531,1.3287,1.3352,1.338025
2016-06-30,1.3453,1.3494,1.3204,1.3451,1.34005
2016-07-01,1.3326,1.3347,1.3244,1.3328,1.331125
2016-07-03,1.3277,1.329,1.3274,1.3279,1.328
2016-07-04,1.3282,1.3338,1.3239,1.3281,1.3285
2016-07-05,1.3278,1.328,1.295,1.3278,1.31965
2016-07-06,1.2959,1.3013,1.2797,1.2963,1.2933
2016-07-07,1.2919,1.3045,1.2877,1.2917,1.2939500000000002
2016-07-08,1.2912,1.3016,1.2905,1.2908,1.293525
2016-07-10,1.2943,1.2949,1.2933,1.2944,1.294225
2016-07-11,1.2941,1.3016,1.2849,1.2941,1.293675
2016-07-12,1.2979,1.3293,1.2975,1.2981,1.3057
2016-07-13,1.3274,1.3334,1.3105,1.3268,1.324525
2016-07-14,1.3116,1.3471,1.3105,1.3117,1.3202250000000002
2016-07-15,1.3351,1.3479,1.3131,1.335,1.3327749999999998
2016-07-17,1.3208,1.3261,1.3196,1.3207,1.3218
2016-07-18,1.3227,1.3311,1.3211,1.3231,1.3245
2016-07-19,1.3264,1.327,1.3072,1.3262,1.3216999999999999
2016-07-20,1.3104,1.327,1.3063,1.3104,1.313525
2016-07-21,1.3221,1.3267,1.3156,1.3219,1.321575
2016-07-22,1.3229,1.3288,1.3077,1.3234,1.3207
2016-07-24,1.3125,1.3141,1.3119,1.3125,1.3127499999999999
2016-07-25,1.3121,1.3162,1.309,1.3121,1.3123500000000001
2016-07-26,1.3103,1.3168,1.3062,1.3103,1.3109000000000002
2016-07-27,1.3146,1.3237,1.3077,1.3146,1.31515
2016-07-28,1.3226,1.3246,1.3118,1.3226,1.3204
2016-07-29,1.3159,1.3299,1.315,1.316,1.3192
2016-07-31,1.3236,1.3236,1.3199,1.3236,1.3226750000000003
2016-08-01,1.3214,1.3269,1.3162,1.3214,1.321475
2016-08-02,1.3183,1.3362,1.317,1.3183,1.3224500000000001
2016-08-03,1.3335,1.3369,1.3284,1.3335,1.333075
2016-08-04,1.3325,1.3342,1.3101,1.3325,1.327325
2016-08-05,1.3126,1.3173,1.302,1.3126,1.311125
2016-08-07,1.3076,1.3083,1.3066,1.3078,1.307575
2016-08-08,1.3072,1.3095,1.3026,1.3073,1.3066499999999999
2016-08-09,1.303,1.3031,1.2954,1.303,1.3011249999999999
2016-08-10,1.3009,1.3092,1.299,1.3011,1.30255
2016-08-11,1.3018,1.3026,1.2935,1.3018,1.299925
2016-08-12,1.2951,1.3033,1.2907,1.2952,1.296075
2016-08-14,1.292,1.2921,1.2899,1.292,1.2915
2016-08-15,1.2907,1.2943,1.2864,1.2907,1.2905250000000001
2016-08-16,1.2879,1.3069,1.2877,1.2878,1.292575
2016-08-17,1.3029,1.3084,1.2979,1.3029,1.303025
2016-08-18,1.3043,1.3183,1.304,1.3043,1.307725
2016-08-19,1.316,1.3161,1.3022,1.3161,1.3126000000000002
2016-08-21,1.307,1.3081,1.3053,1.307,1.3068499999999998
2016-08-22,1.3059,1.3153,1.3033,1.3059,1.3076
2016-08-23,1.3131,1.3209,1.3128,1.3131,1.314975
2016-08-24,1.3195,1.3268,1.3162,1.3195,1.3205
2016-08-25,1.3235,1.326,1.3167,1.3235,1.322425
2016-08-26,1.3192,1.3276,1.312,1.3191,1.319475
2016-08-28,1.3115,1.3137,1.3112,1.3115,1.311975
2016-08-29,1.3124,1.313,1.3059,1.3124,1.3109250000000001
2016-08-30,1.3104,1.3117,1.3059,1.3104,1.3096
2016-08-31,1.3088,1.3156,1.3066,1.3088,1.3099500000000002
2016-09-01,1.3131,1.3315,1.3127,1.3131,1.3176
2016-09-02,1.3272,1.3351,1.3251,1.3273,1.3286749999999998
2016-09-04,1.3298,1.33,1.3289,1.3298,1.329625
2016-09-05,1.3292,1.337,1.3292,1.3292,1.33115
2016-09-06,1.3309,1.3443,1.3302,1.3309,1.334075
2016-09-07,1.3413,1.3422,1.3318,1.3413,1.33915
2016-09-08,1.3336,1.3373,1.3283,1.3336,1.3332000000000002
2016-09-09,1.3305,1.3334,1.3238,1.3306,1.3295750000000002
2016-09-11,1.3265,1.3271,1.3255,1.3265,1.3264
2016-09-12,1.3269,1.3345,1.3235,1.3269,1.32795
2016-09-13,1.3334,1.3336,1.3168,1.3334,1.3293
2016-09-14,1.3191,1.3274,1.3139,1.3191,1.319875
2016-09-15,1.326,1.3267,1.318,1.326,1.3241749999999999
2016-09-16,1.3243,1.3245,1.2998,1.3244,1.31825
2016-09-18,1.3002,1.3018,1.3002,1.3002,1.3006
2016-09-19,1.3011,1.3089,1.301,1.3011,1.3030249999999999
2016-09-20,1.3038,1.3063,1.2946,1.3038,1.302125
2016-09-21,1.2981,1.3045,1.2947,1.2981,1.29885
2016-09-22,1.3031,1.3117,1.3031,1.3031,1.30525
2016-09-23,1.3082,1.3085,1.2913,1.3081,1.304025
2016-09-25,1.2962,1.2979,1.2962,1.2962,1.296625
2016-09-26,1.2976,1.2985,1.2918,1.2976,1.296375
2016-09-27,1.2966,1.3024,1.2935,1.2966,1.297275
2016-09-28,1.3008,1.3056,1.2981,1.3008,1.301325
2016-09-29,1.3036,1.305,1.2953,1.3036,1.3018750000000001
2016-09-30,1.2962,1.302,1.2935,1.2964,1.297025
2016-10-02,1.2937,1.2943,1.292,1.2941,1.293525
2016-10-03,1.2928,1.2944,1.2816,1.2928,1.2904
2016-10-04,1.2854,1.2859,1.2718,1.2857,1.2822
2016-10-05,1.2727,1.2767,1.2685,1.2727,1.27265
2016-10-06,1.2751,1.2752,1.1976,1.2751,1.25575
2016-10-07,1.2387,1.248,1.2226,1.2387,1.2369999999999999
2016-10-09,1.2429,1.2439,1.2426,1.2429,1.243075
2016-10-10,1.2433,1.2442,1.2336,1.2433,1.2411
2016-10-11,1.2345,1.2349,1.2088,1.2344,1.2281499999999999
2016-10-12,1.227,1.2323,1.2165,1.227,1.2257
2016-10-13,1.2185,1.227,1.2134,1.2185,1.21935
2016-10-14,1.2225,1.226,1.2167,1.2224,1.2218999999999998
2016-10-16,1.217,1.218,1.215,1.2169,1.216725
2016-10-17,1.2172,1.2218,1.2137,1.2175,1.2175500000000001
2016-10-18,1.2217,1.2323,1.2217,1.2217,1.22435
2016-10-19,1.23,1.2325,1.2256,1.23,1.229525
2016-10-20,1.2292,1.2296,1.2214,1.2292,1.22735
2016-10-21,1.2254,1.2257,1.217,1.2254,1.2233749999999999
2016-10-23,1.2222,1.2225,1.2211,1.2222,1.222
2016-10-24,1.2215,1.2247,1.2184,1.2216,1.2215500000000001
2016-10-25,1.2219,1.2241,1.2081,1.2222,1.219075
2016-10-26,1.2172,1.2247,1.2155,1.2174,1.2187000000000001
2016-10-27,1.2233,1.2269,1.2148,1.2234,1.2221
2016-10-28,1.2168,1.221,1.2113,1.2168,1.216475
2016-10-30,1.219,1.2193,1.2186,1.2191,1.219
2016-10-31,1.2191,1.2247,1.2145,1.2191,1.21935
2016-11-01,1.2233,1.2275,1.2207,1.2233,1.2237
2016-11-02,1.2238,1.2347,1.222,1.2238,1.2260749999999998
2016-11-03,1.2301,1.249,1.2299,1.2301,1.234775
2016-11-04,1.2463,1.2552,1.2448,1.2463,1.2481499999999999
2016-11-06,1.2468,1.2472,1.2456,1.2469,1.2466249999999999
2016-11-07,1.2469,1.2494,1.2379,1.2469,1.245275
2016-11-08,1.2393,1.2437,1.2361,1.2393,1.2396
2016-11-09,1.2367,1.2545,1.2356,1.2367,1.240875
2016-11-10,1.2416,1.2583,1.2376,1.2416,1.2447750000000002
2016-11-11,1.2543,1.2671,1.2525,1.2543,1.25705
2016-11-13,1.2575,1.2585,1.2564,1.2585,1.257725
2016-11-14,1.2576,1.2589,1.2445,1.2576,1.2546499999999998
2016-11-15,1.2501,1.2526,1.2382,1.2501,1.24775
2016-11-16,1.2447,1.25,1.241,1.2447,1.2450999999999999
2016-11-17,1.244,1.2503,1.2407,1.244,1.2447499999999998
2016-11-18,1.2414,1.2433,1.2301,1.2414,1.23905
2016-11-20,1.2348,1.2352,1.234,1.2348,1.2347
2016-11-21,1.2349,1.2509,1.2312,1.2349,1.237975
2016-11-22,1.2487,1.2511,1.2383,1.2487,1.2467
2016-11-23,1.2423,1.2465,1.2362,1.2423,1.241825
2016-11-24,1.2422,1.2492,1.24,1.2422,1.2434
2016-11-25,1.2448,1.2471,1.2416,1.2448,1.244575
2016-11-27,1.2469,1.2477,1.2456,1.2465,1.246675
2016-11-28,1.2468,1.2528,1.2386,1.2468,1.2462499999999999
2016-11-29,1.2415,1.2524,1.2388,1.2415,1.24355
2016-11-30,1.2489,1.2521,1.2421,1.2489,1.248
