,type_experiment,name_dataset,step_ahead,num_variables,nrmse
176,A,IOT_5,2,60,0.24209434451866155
177,A,IOT_5,3,60,0.2459475112237071
178,A,IOT_5,4,60,0.3171349814905521
179,A,IOT_5,5,60,0.32102863083539157
180,A,IOT_5,1,60,0.12458000010736985
181,A,IOT_5,2,60,0.2711449632520785
182,A,IOT_5,3,60,0.36232727326994424
183,A,IOT_5,4,60,0.4516445632427077
184,A,IOT_5,5,60,0.4342424310683862
185,A,IOT_5,1,60,0.11778768754313543
186,A,IOT_5,2,60,0.29638784117471845
187,A,IOT_5,3,60,0.3528294723165812
188,A,IOT_5,4,60,0.38546065839816895
189,A,IOT_5,5,60,0.3747621787538858
